'Time','TRX','BTC','ETH','BNB','ADA','NEO','QTUM','LTC','XRP','Mean','TRXdev','BTCdev','ETHdev','BNBdev','ADAdev','NEOdev','QTUMdev','LTCdev','XRPdev','TRXndev','BTCndev','ETHndev','BNBndev','ADAndev','NEOndev','QTUMndev','LTCndev','XRPndev','SumNorm.Dev.'
'01/05/2021',0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9.0
'02/05/2021',0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9.0
'03/05/2021',0.0,0.0,-37.48,0.0,0.0,0.0,0.0,0.0,0.0,-4.165,4.165,4.165,-33.315,4.165,4.165,4.165,4.165,4.165,4.165,38.48,38.48,1.0,38.48,38.48,38.48,38.48,38.48,38.48,308.84
'04/05/2021',0.0,0.0,-37.48,-37.48,-37.48,0.0,0.0,0.0,0.0,-12.494,12.494,12.494,-24.986,-24.986,-24.986,12.494,12.494,12.494,12.494,38.48,38.48,1.0,1.0,1.0,38.48,38.48,38.48,38.48,233.88
'05/05/2021',0.0,0.0,4.4,-37.48,9.85,0.0,0.0,0.0,0.0,-2.581,2.581,2.581,6.981,-34.899,12.431,2.581,2.581,2.581,2.581,38.48,38.48,42.88,1.0,48.33,38.48,38.48,38.48,38.48,323.09
'06/05/2021',0.0,0.0,3.82,4.4,9.85,0.0,0.0,0.0,0.0,2.008,-2.008,-2.008,1.812,2.392,7.842,-2.008,-2.008,-2.008,-2.008,1.0,1.0,4.82,5.4,10.85,1.0,1.0,1.0,1.0,27.07
'07/05/2021',0.0,3.82,3.82,3.82,9.85,0.0,0.0,0.0,0.0,2.367,-2.367,1.453,1.453,1.453,7.483,-2.367,-2.367,-2.367,-2.367,1.0,4.82,4.82,4.82,10.85,1.0,1.0,1.0,1.0,30.31
'08/05/2021',0.0,3.15,2.6,3.15,3.15,0.0,0.0,0.0,0.0,1.339,-1.339,1.811,1.261,1.811,1.811,-1.339,-1.339,-1.339,-1.339,1.0,4.15,3.6,4.15,4.15,1.0,1.0,1.0,1.0,21.05
'09/05/2021',0.0,2.6,2.6,2.6,3.15,2.6,0.0,0.0,0.0,1.504,-1.504,1.096,1.096,1.096,1.646,1.096,-1.504,-1.504,-1.504,1.0,3.6,3.6,3.6,4.15,3.6,1.0,1.0,1.0,22.55
'10/05/2021',0.0,2.6,6.18,7.07,3.15,2.6,0.0,7.07,0.0,3.185,-3.185,-0.585,2.995,3.885,-0.035,-0.585,-3.185,3.885,-3.185,1.0,3.6,7.18,8.07,4.15,3.6,1.0,8.07,1.0,37.67
'11/05/2021',0.0,6.18,6.17,7.07,3.15,2.6,0.0,7.07,0.0,3.582,-3.582,2.598,2.588,3.488,-0.432,-0.982,-3.582,3.488,-3.582,1.0,7.18,7.17,8.07,4.15,3.6,1.0,8.07,1.0,41.24
'12/05/2021',6.17,6.17,5.37,6.17,3.15,2.6,0.0,7.07,6.17,4.761,1.409,1.409,0.609,1.409,-1.611,-2.161,-4.761,2.309,1.409,7.17,7.17,6.37,7.17,4.15,3.6,1.0,8.07,7.17,51.87
'13/05/2021',6.17,5.37,7.75,5.37,3.15,5.37,0.0,5.37,6.17,4.968,1.202,0.402,2.782,0.402,-1.818,0.402,-4.968,0.402,1.202,7.17,6.37,8.75,6.37,4.15,6.37,1.0,6.37,7.17,53.72
'14/05/2021',7.75,7.75,7.75,7.75,3.15,5.37,0.0,7.75,6.17,5.937,1.813,1.813,1.813,1.813,-2.787,-0.567,-5.937,1.813,0.233,8.75,8.75,8.75,8.75,4.15,6.37,1.0,8.75,7.17,62.44
'15/05/2021',7.75,7.75,7.75,7.75,3.15,5.37,0.0,7.75,6.17,5.937,1.813,1.813,1.813,1.813,-2.787,-0.567,-5.937,1.813,0.233,8.75,8.75,8.75,8.75,4.15,6.37,1.0,8.75,7.17,62.44
'16/05/2021',7.75,7.75,8.22,6.92,3.15,5.37,0.0,7.75,6.17,5.896,1.854,1.854,2.324,1.024,-2.746,-0.526,-5.896,1.854,0.274,8.75,8.75,9.22,7.92,4.15,6.37,1.0,8.75,7.17,62.08
'17/05/2021',7.75,7.75,7.72,8.22,3.15,5.37,0.0,7.75,8.22,6.213,1.537,1.537,1.507,2.007,-3.063,-0.843,-6.213,1.537,2.007,8.75,8.75,8.72,9.22,4.15,6.37,1.0,8.75,9.22,64.93
'18/05/2021',7.72,7.75,7.72,7.72,3.15,5.37,0.0,7.75,8.22,6.154,1.566,1.596,1.566,1.566,-3.004,-0.784,-6.154,1.596,2.066,8.72,8.75,8.72,8.72,4.15,6.37,1.0,8.75,9.22,64.4
'19/05/2021',7.72,7.75,8.08,9.18,3.15,9.18,0.0,7.75,8.22,6.779,0.941,0.971,1.301,2.401,-3.629,2.401,-6.779,0.971,1.441,8.72,8.75,9.08,10.18,4.15,10.18,1.0,8.75,9.22,70.03
'20/05/2021',7.72,7.75,8.19,8.08,3.15,9.18,0.0,8.08,8.22,6.705,1.015,1.045,1.485,1.375,-3.555,2.475,-6.705,1.375,1.515,8.72,8.75,9.19,9.08,4.15,10.18,1.0,9.08,9.22,69.37
'21/05/2021',7.72,8.19,7.92,8.19,3.15,9.18,0.0,8.19,8.22,6.749,0.971,1.441,1.171,1.441,-3.599,2.431,-6.749,1.441,1.471,8.72,9.19,8.92,9.19,4.15,10.18,1.0,9.19,9.22,69.76
'22/05/2021',7.72,8.19,7.92,8.19,3.15,9.18,0.0,8.19,8.22,6.749,0.971,1.441,1.171,1.441,-3.599,2.431,-6.749,1.441,1.471,8.72,9.19,8.92,9.19,4.15,10.18,1.0,9.19,9.22,69.76
'23/05/2021',7.72,8.19,8.02,7.96,3.15,9.18,0.0,8.19,8.22,6.734,0.986,1.456,1.286,1.226,-3.584,2.446,-6.734,1.456,1.486,8.72,9.19,9.02,8.96,4.15,10.18,1.0,9.19,9.22,69.63
'24/05/2021',7.72,8.19,8.19,7.96,3.15,9.18,0.0,8.19,8.22,6.753,0.967,1.437,1.437,1.207,-3.603,2.427,-6.753,1.437,1.467,8.72,9.19,9.19,8.96,4.15,10.18,1.0,9.19,9.22,69.8
'25/05/2021',7.72,8.19,8.19,7.96,3.15,9.18,0.0,8.19,8.22,6.753,0.967,1.437,1.437,1.207,-3.603,2.427,-6.753,1.437,1.467,8.72,9.19,9.19,8.96,4.15,10.18,1.0,9.19,9.22,69.8
'26/05/2021',7.72,8.19,8.19,7.96,3.15,9.18,0.0,8.19,8.22,6.753,0.967,1.437,1.437,1.207,-3.603,2.427,-6.753,1.437,1.467,8.72,9.19,9.19,8.96,4.15,10.18,1.0,9.19,9.22,69.8
'27/05/2021',7.13,8.19,7.45,7.13,3.15,9.18,0.0,8.19,7.13,6.394,0.736,1.796,1.056,0.736,-3.244,2.786,-6.394,1.796,0.736,8.13,9.19,8.45,8.13,4.15,10.18,1.0,9.19,8.13,66.55
'28/05/2021',7.13,8.19,7.03,7.45,3.15,9.18,0.0,8.19,7.13,6.383,0.747,1.807,0.647,1.067,-3.233,2.797,-6.383,1.807,0.747,8.13,9.19,8.03,8.45,4.15,10.18,1.0,9.19,8.13,66.45
'29/05/2021',7.13,8.19,7.03,7.03,3.15,9.18,0.0,8.19,7.13,6.336,0.794,1.854,0.694,0.694,-3.186,2.844,-6.336,1.854,0.794,8.13,9.19,8.03,8.03,4.15,10.18,1.0,9.19,8.13,66.03
'30/05/2021',7.3,8.19,6.98,7.3,3.15,9.18,0.0,8.19,7.13,6.381,0.919,1.809,0.599,0.919,-3.231,2.799,-6.381,1.809,0.749,8.3,9.19,7.98,8.3,4.15,10.18,1.0,9.19,8.13,66.42
'31/05/2021',7.3,8.19,6.77,6.98,3.15,9.18,0.0,8.19,7.13,6.321,0.979,1.869,0.449,0.659,-3.171,2.859,-6.321,1.869,0.809,8.3,9.19,7.77,7.98,4.15,10.18,1.0,9.19,8.13,65.89
'01/06/2021',7.3,8.19,6.74,6.98,3.15,9.18,0.0,8.19,7.13,6.317,0.983,1.873,0.423,0.663,-3.167,2.863,-6.317,1.873,0.813,8.3,9.19,7.74,7.98,4.15,10.18,1.0,9.19,8.13,65.86
'02/06/2021',7.3,6.74,6.13,6.74,3.15,9.18,0.0,8.19,7.13,6.061,1.239,0.679,0.069,0.679,-2.911,3.119,-6.061,2.129,1.069,8.3,7.74,7.13,7.74,4.15,10.18,1.0,9.19,8.13,63.56
'03/06/2021',7.3,6.13,6.56,6.13,3.15,6.13,0.0,8.19,7.13,5.634,1.666,0.496,0.926,0.496,-2.484,0.496,-5.634,2.556,1.496,8.3,7.13,7.56,7.13,4.15,7.13,1.0,9.19,8.13,59.72
'04/06/2021',7.3,6.13,7.1,6.13,3.15,6.56,0.0,8.19,7.13,5.742,1.558,0.388,1.358,0.388,-2.592,0.818,-5.742,2.448,1.388,8.3,7.13,8.1,7.13,4.15,7.56,1.0,9.19,8.13,60.69
'05/06/2021',7.3,6.13,5.56,6.13,3.15,6.56,0.0,8.19,7.13,5.571,1.729,0.559,-0.011,0.559,-2.421,0.989,-5.571,2.619,1.559,8.3,7.13,6.56,7.13,4.15,7.56,1.0,9.19,8.13,59.15
'06/06/2021',7.3,5.56,5.24,5.56,3.15,5.56,0.0,8.19,7.13,5.299,2.001,0.261,-0.059,0.261,-2.149,0.261,-5.299,2.891,1.831,8.3,6.56,6.24,6.56,4.15,6.56,1.0,9.19,8.13,56.69
'07/06/2021',5.24,5.24,5.08,5.24,5.24,5.56,0.0,8.19,7.13,5.214,0.026,0.026,-0.134,0.026,0.026,0.346,-5.214,2.976,1.916,6.24,6.24,6.08,6.24,6.24,6.56,1.0,9.19,8.13,55.92
'08/06/2021',5.24,5.24,5.47,5.08,5.24,5.56,0.0,8.19,7.13,5.24,0.0,0.0,0.23,-0.16,0.0,0.32,-5.24,2.95,1.89,6.24,6.24,6.47,6.08,6.24,6.56,1.0,9.19,8.13,56.15
'09/06/2021',5.47,5.24,5.65,5.47,5.47,5.47,0.0,5.47,7.13,5.043,0.427,0.197,0.607,0.427,0.427,0.427,-5.043,0.427,2.087,6.47,6.24,6.65,6.47,6.47,6.47,1.0,6.47,8.13,54.37
'10/06/2021',5.47,5.24,5.24,5.65,5.65,5.47,0.0,5.47,7.13,5.037,0.433,0.203,0.203,0.613,0.613,0.433,-5.037,0.433,2.093,6.47,6.24,6.24,6.65,6.65,6.47,1.0,6.47,8.13,54.32
'11/06/2021',5.24,5.24,4.72,5.24,5.65,5.47,0.0,5.24,7.13,4.883,0.357,0.357,-0.163,0.357,0.767,0.587,-4.883,0.357,2.247,6.24,6.24,5.72,6.24,6.65,6.47,1.0,6.24,8.13,52.93
'12/06/2021',4.72,5.24,4.72,4.72,5.65,4.72,0.0,4.72,7.13,4.624,0.096,0.616,0.096,0.096,1.026,0.096,-4.624,0.096,2.506,5.72,6.24,5.72,5.72,6.65,5.72,1.0,5.72,8.13,50.62
'13/06/2021',4.72,5.24,4.63,4.71,5.65,4.72,0.0,4.71,7.13,4.613,0.107,0.627,0.017,0.097,1.037,0.107,-4.613,0.097,2.517,5.72,6.24,5.63,5.71,6.65,5.72,1.0,5.71,8.13,50.51
'14/06/2021',4.72,5.24,4.9,4.63,5.65,4.72,0.0,4.71,7.13,4.634,0.086,0.606,0.266,-0.004,1.016,0.086,-4.634,0.076,2.496,5.72,6.24,5.9,5.63,6.65,5.72,1.0,5.71,8.13,50.7
'15/06/2021',4.72,5.24,4.9,4.9,5.65,4.72,0.0,4.9,7.13,4.686,0.034,0.554,0.214,0.214,0.964,0.034,-4.686,0.214,2.444,5.72,6.24,5.9,5.9,6.65,5.72,1.0,5.9,8.13,51.16
'16/06/2021',5.15,5.24,5.01,4.9,5.65,4.72,0.0,4.9,7.13,4.745,0.405,0.495,0.265,0.155,0.905,-0.025,-4.745,0.155,2.385,6.15,6.24,6.01,5.9,6.65,5.72,1.0,5.9,8.13,51.7
'17/06/2021',5.15,5.24,5.01,5.01,5.65,4.72,0.0,4.9,7.13,4.756,0.394,0.484,0.254,0.254,0.894,-0.036,-4.756,0.144,2.374,6.15,6.24,6.01,6.01,6.65,5.72,1.0,5.9,8.13,51.81
'18/06/2021',5.08,5.08,4.86,5.01,5.65,4.72,0.0,5.08,7.13,4.734,0.346,0.346,0.126,0.276,0.916,-0.014,-4.734,0.346,2.396,6.08,6.08,5.86,6.01,6.65,5.72,1.0,6.08,8.13,51.61
'19/06/2021',4.86,4.86,4.86,4.86,5.65,4.86,0.0,4.86,7.13,4.66,0.2,0.2,0.2,0.2,0.99,0.2,-4.66,0.2,2.47,5.86,5.86,5.86,5.86,6.65,5.86,1.0,5.86,8.13,50.94
